id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35111268,Home Away in the Heart of Town,264461293,Niko,,Churriana,36.62432,-4.50225,Entire home/apt,81,4,4,2019-09-11,0.11,1,12,0,VFT/MA/31908
96033,"* Cosy flat 200m from the beach, El Palo/Malaga *",510467,Rafael,,Este,36.72031,-4.35627,Entire home/apt,55,2,140,2022-06-24,1.32,1,277,38,VFT/MA/22043
50825973,"𝓟𝓵𝓪𝔂𝓪, 𝓟𝓲𝓼𝓬𝓲𝓷𝓪 𝔂 𝓒𝓲𝓽𝔂.",27331173,Regina,,Churriana,36.62746,-4.49688,Entire home/apt,58,7,53,2022-06-12,4.64,1,28,53,VFT/MA/43169
53053912,"MiCasaMendoza Comares, luxury private villa",429481182,Geert,,Este,36.848091,-4.260522,Entire home/apt,177,7,0,,,1,29,0,VTAR/MA/03238
166473,Perfect Location In Malaga,793360,Fred,,Este,36.71934,-4.35942,Private room,24,5,80,2022-06-12,0.61,4,223,9,CTC/2018118027
53746310,Precioso apartamento en el centro de Torremolinos,321743478,Iván,,Churriana,36.62729,-4.49803,Entire home/apt,60,2,23,2022-06-26,3.79,1,25,23,VFT/MA/48483
1797493,Loft 2 - Prime Location,8217784,Francisco,,Centro,36.71933,-4.4236,Entire home/apt,114,4,60,2022-05-19,0.58,3,118,4,VFT-MA-14325
212845,BEAUTIFUL DOUBLE ROOM IN MALAGA,617998,Valle,,Este,36.72606,-4.36541,Shared room,46,2,37,2022-06-18,0.29,2,280,1,VFT/MA/09354
1825432,Apartamento nuevo cerca de la playa,9552973,Eugenio,,Carretera de Cadiz,36.70372,-4.44271,Entire home/apt,63,2,45,2021-10-08,0.43,2,240,2,VFT/MA/02018
7275957,ÁTICO EN TORREMOLINOS CENTRO,38094376,Charo,,Churriana,36.62272,-4.50346,Entire home/apt,86,5,3,2017-06-05,0.04,1,341,0,CTC-2020036437
655819455492175337,apartamento plaza costa sol,147009058,Lazaro,,Churriana,36.62517,-4.49906,Entire home/apt,99,6,0,,,2,62,0,2018150018
229511,MOUNTAIN VILLA WITH SEAVIEWS - PRIVATE POOL,1198693,Joaquin,,Este,36.79087,-4.38198,Entire home/apt,191,5,3,2020-07-26,0.05,2,314,0,VFT/ MA/22170
38671927,Atmospheric little olive-plantation casita.,35283286,Reinier,,Este,36.84143,-4.24475,Entire home/apt,70,1,0,,,1,351,0,CR/MA/01067
1836035,DISFRUTA EL CENTRO HISTÓRICO (3),9598080,Unisierra,,Centro,36.71924,-4.4224,Entire home/apt,166,2,9,2017-12-17,0.09,4,179,0,A/MA/01269
1867072,DISFRUTA EL CENTRO HISTÓRICO (4),9598080,Unisierra,,Centro,36.72001,-4.42234,Entire home/apt,147,2,3,2018-07-22,0.04,4,1,0,A/MA/01269
330760,Malaga Lodge Guesthouse Double room-shared bath.,1687526,Mayte,,Centro,36.729786,-4.413462,Private room,54,1,47,2022-02-22,0.37,3,159,12,VFT/MA/12240
1888913,DISFRUTA EL CENTRO HISTÓRICO (5),9598080,Unisierra,,Centro,36.72043,-4.42191,Entire home/apt,112,2,1,2017-12-06,0.02,4,365,0,A/MA/01269
19878646,SUPERB NEW AND MODERN VILLA IN ANDALUCIA,129113245,Olivier,,Este,36.8476,-4.249,Entire home/apt,509,2,12,2022-01-02,0.33,1,300,3,CTC-2017123916
340024,NEW APARTMENT IN MALAGA CENTER,1725690,Carlos,,Centro,36.72813,-4.41422,Entire home/apt,59,3,182,2022-06-13,1.61,1,282,43,VFT/MA/02334
38514716,Trendy Vintage Apartment,26235212,Peter,,Churriana,36.62454,-4.49929,Entire home/apt,85,4,10,2022-03-31,0.44,3,230,6,VFT/MA/06176
358541,Casa La Maga - Apartment for happy people,1526932,Cristina,,Centro,36.72338,-4.42208,Entire home/apt,91,2,318,2022-06-12,2.57,1,244,39,VFT/MA/02288
36462390,EXCELENTE ESTUDIO LA NOGALERA (parada tren centro),81793416,José Miguel,,Churriana,36.62329,-4.49978,Entire home/apt,74,5,23,2022-04-17,0.66,4,237,18,CTC-2019121672
1895284,Cortijo Juan Salvador La Higuera,9848032,Riny,,Este,36.80035,-4.32961,Entire home/apt,230,4,19,2022-04-28,0.20,2,307,7,CR/MA/00454
412798,Excellent Holiday Apartment with Wi-Fi and A/C,1399056,Mario,,Teatinos-Universidad,36.72369,-4.46125,Entire home/apt,115,6,19,2020-08-26,0.20,1,0,0,VFT/MA/18479
1947485,Estudio Málaga Centro - Playa,10071753,Javier,,Centro,36.71608,-4.42384,Entire home/apt,48,4,117,2022-06-27,1.62,1,159,34,VFT/MA/20612
37925240,2Comodo Estudio Torremolinos Centro,278671143,Sergio,,Churriana,36.62328,-4.49987,Entire home/apt,61,3,16,2022-06-06,0.68,2,31,11,VFT/MA/35555
413063,Apartment historical centre Malaga,2055304,Michael,,Centro,36.720215,-4.42297,Entire home/apt,81,60,21,2018-09-12,0.17,1,364,0,
43940123,Precioso estudio vista mar,351843540,Pedro,,Churriana,36.62698,-4.49784,Entire home/apt,60,6,29,2022-06-20,1.21,1,13,21,CTC-2020035558
1951589,Apartment city centre Larios Street,10070230,Rodrigo,,Centro,36.721474,-4.420971,Entire home/apt,106,4,61,2022-06-11,0.59,4,70,20,VFT/MA/13847
421077,LUXURY MALAGA HISTORIC CENTER BEACH,2092252,Tatiana Juliettesis,,Centro,36.72117,-4.42526,Entire home/apt,76,2,72,2022-06-03,0.58,9,311,3,H
1966333,Perfect Location in Malaga Part 2,793360,Fred,,Este,36.72054,-4.36006,Private room,24,5,29,2022-01-14,0.28,4,252,4,CTC-2018118027
52235607,"Bright two-bedroom apartment, with terrace and pool",2103056,David,,Churriana,36.62682,-4.49753,Entire home/apt,181,1,11,2022-06-11,1.52,19,130,11,VFT/MA/46266
427860,Enjoy the coast of the Sun,2126353,Pablo,,Centro,36.73232,-4.4153,Private room,50,2,16,2017-08-17,0.13,3,210,0,CTC-2019124497
578222781238635203,LOS RISCOS Luxury Apartment,126462060,Yoni & Sven,,Churriana,36.621994,-4.50199,Entire home/apt,151,3,0,,,1,50,0,VFT/MA/49971
582467668932294390,"Begona Studio 221, City Center studio",260194488,John,,Churriana,36.62456,-4.50091,Entire home/apt,102,1,0,,,23,150,0,VFT/MA/21357
2038218,IN ONE OF THE MOST LUXURIOUS STREET,8689293,Sara,,Centro,36.71874,-4.42142,Entire home/apt,90,4,111,2020-08-02,1.09,2,177,0,VFT/MA/02698
2111519,Apartment in the historic centre,10765775,Lola,,Centro,36.72461,-4.42265,Entire home/apt,55,2,181,2019-10-20,1.80,2,59,0,CTC-2018087270
505688,Duplex Apartment in Malaga Center,2489890,Fede,,Centro,36.72526,-4.41821,Entire home/apt,79,4,186,2022-05-31,1.54,13,38,14,VFT/MA/00643
2138517,Casa Rural Carpe Diem de Málaga,9725526,Isabel,,Churriana,36.6541,-4.51569,Entire home/apt,97,4,1,2022-04-27,0.47,1,245,1,"Junta de Andalucía, Consejería de Turismo, Comercio y Deporte, con categoría básica   no compartida y número de inscripción  CR/MA / 0406."
21418265,Tus mejores vacaciones.,155215924,Javier,,Churriana,36.62405,-4.50173,Entire home/apt,119,5,8,2021-08-24,0.14,1,52,1,VFT/MA/15739
507961,Duplex Apartment. Malaga Center,2489890,Fede,,Centro,36.72433,-4.41834,Entire home/apt,77,4,157,2022-06-13,1.29,13,19,14,VFT/MA/00641
41559451,"Mirador del Romeral (piscina,montaña y playa)",326788467,Soledad,,Campanillas,36.68646,-4.57056,Entire home/apt,236,2,16,2022-05-29,0.56,1,310,10,CTC-2019197601
2145149,Perfect Location in Malaga Part 3,793360,Fred,,Este,36.72081,-4.36109,Private room,25,5,36,2022-06-21,0.35,4,298,11,CTC-2018118027
508787,Modern Apartment in Málaga Center,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,63,4,201,2022-06-02,1.66,13,8,11,VFT/MA/00576
2154384,Villa El Mirador Malaga - Private Pool,2453338,Joy,,Palma-Palmilla,36.79812,-4.4551,Entire home/apt,322,1,86,2022-06-04,0.98,1,120,19,CR/MA/00411
509073,Modern Apartment. Málaga CityCenter,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,69,4,202,2022-06-12,1.67,13,29,17,VFT/MA/00574
32599930,The best of holidays at Finca Manolo!,53796124,Sue,,Este,36.8687,-4.28068,Entire home/apt,131,7,0,,,1,324,0,CR/MA/01173
550804,"MALAGA CENTER, MALAGUETA BEACH",2707228,Alfonso,,Centro,36.71643,-4.41103,Entire home/apt,172,5,71,2022-06-12,0.64,4,65,17,VFT/MA/672
